"Year","State","State_Population","State_Per_Capita_Income","Total_Charges","Percentage_of_US_Total_Charges","Race","Percentage_of_US_Race_Charges","Sex","Percentage_of_US_Sex_Charges","National_Origin","Percentage_of_US_National_Origin_Charges","Religion","Percentage_of_US_Religion_Charges","Color","Percentage_of_US_Color_Charges","Retaliation_All","Percentage_of_US_Retaliation_All_Charges","Retaliation_Title_VII","Percentage_of_US_Retaliation_Title_VII_Charges","Age","Percentage_of_US_Age_Charges","Disability","Percentage_of_US_Disability_Charges","Equal_Pay_Act","Percentage_of_US_EPA_Charges","GINA","Percentage_of_US_GINA_Charges","Gov_Party","White_Male_Pop","White_Female_Pop","Black_Male_Pop","Black_Female_Pop","Native_American_Male_Pop","Native_American_Female_Pop","Asian_Male_Pop","Asian_Female_Pop","Hispanic_Male_Pop","Hispanic_Female_Pop"
2016,"Indiana",6634304,43645,2533,"2.80%",810,"2.50%",786,"2.90%",159,"1.60%",83,"2.20%",108,"3.50%",1077,"2.60%",842,"2.50%",574,"2.80%",925,"3.30%",17,"1.60%",5,"2.10%","R",2627889,2713783,322857,345836,8779,9319,80004,80615,208542,193564
2017,"Indiana",6658078,45116,2389,"2.80%",793,"2.80%",759,"3.00%",139,"1.70%",76,"2.20%",105,"3.20%",1067,"2.50%",811,"2.50%",550,"3.00%",896,"3.30%",24,"2.40%",1,"0.50%","R",2626057,2711699,327300,350549,8860,9414,83528,83536,213573,199021
2018,"Indiana",6695497,47100,1890,"2.50%",608,"2.50%",639,"2.60%",144,"2.00%",43,"1.50%",87,"2.70%",917,"2.30%",699,"2.30%",411,"2.40%",710,"2.90%",20,"1.90%",2,"0.90%","R",2626486,2710878,333554,356481,9021,9571,88724,88163,219732,205423
2019,"Indiana",6732219,48757,1880,"2.60%",616,"2.60%",635,"2.70%",105,"1.50%",50,"1.80%",96,"2.80%",982,"2.50%",746,"2.50%",388,"2.50%",719,"3.00%",24,"2.10%",5,"2.40%","R",2626599,2711284,339022,361512,9134,9656,92438,91678,225588,211493
2020,"Indiana",6785528,51691,1737,"2.60%",556,"2.50%",569,"2.70%",105,"1.60%",57,"2.40%",55,"1.50%",869,"2.30%",637,"2.30%",363,"2.60%",666,"2.70%",19,"1.90%",4,"0.90%","R",2625007,2708864,343620,365938,9249,9812,95381,94607,231041,216863
2010,"Iowa",3050745,38312,173,"0.20%",50,"0.10%",51,"0.20%",17,"0.20%",4,"0.10%",2,"0.10%",58,"0.20%",44,"0.10%",39,"0.20%",58,"0.20%",2,"0.20%",2,"1.00%","D",1341864,1384211,54427,48796,4759,5008,29030,29454,74109,66244
2011,"Iowa",3066336,41036,187,"0.20%",56,"0.20%",42,"0.10%",20,"0.20%",5,"0.10%",1,"0.00%",44,"0.10%",31,"0.10%",43,"0.20%",74,"0.30%",2,"0.20%",2,"0.80%","R",1344275,1384614,56055,50201,4809,5021,31608,31827,76265,68326
2012,"Iowa",3076190,42873,208,"0.20%",66,"0.20%",61,"0.20%",20,"0.20%",9,"0.20%",8,"0.30%",54,"0.10%",42,"0.10%",33,"0.10%",84,"0.30%",2,"0.20%",1,"0.40%","R",1344456,1383231,57550,51520,4785,5016,33774,33698,77856,70440
2013,"Iowa",3092997,43439,144,"0.20%",37,"0.10%",43,"0.20%",11,"0.10%",6,"0.20%",2,"0.10%",42,"0.10%",35,"0.10%",35,"0.20%",53,"0.20%",1,"0.10%",1,"0.30%","R",1345388,1382957,60345,54044,4891,5087,36521,36128,80250,73021
2014,"Iowa",3109350,44699,196,"0.20%",52,"0.20%",46,"0.20%",27,"0.30%",26,"0.70%",4,"0.10%",61,"0.20%",49,"0.20%",40,"0.20%",72,"0.30%",0,"0.00%",0,"0.00%","R",1346652,1383014,63436,56483,4907,5165,39262,38434,82213,75040
2015,"Iowa",3120960,46104,183,"0.20%",35,"0.10%",50,"0.20%",17,"0.20%",7,"0.20%",3,"0.10%",72,"0.20%",45,"0.10%",38,"0.20%",86,"0.30%",0,"0.00%",0,"0.00%","R",1346817,1381013,66162,58777,4974,5247,40932,40058,84540,77292
2016,"Iowa",3131371,46291,190,"0.20%",60,"0.20%",45,"0.20%",18,"0.20%",5,"0.10%",7,"0.20%",60,"0.10%",43,"0.10%",44,"0.20%",81,"0.30%",2,"0.20%",1,"0.40%","R",1345312,1379043,68993,61101,5016,5313,42728,41726,87011,79668
2017,"Iowa",3141550,47286,152,"0.20%",42,"0.10%",35,"0.10%",10,"0.10%",6,"0.20%",7,"0.20%",63,"0.10%",39,"0.10%",40,"0.20%",63,"0.20%",0,"0.00%",0,"0.00%","R",1343800,1376240,71965,64169,5051,5359,44488,43419,89132,82001
2018,"Iowa",3148618,49212,154,"0.20%",45,"0.20%",47,"0.20%",8,"0.10%",3,"0.10%",2,"0.10%",72,"0.20%",54,"0.20%",29,"0.20%",66,"0.30%",2,"0.20%",0,"0.00%","R",1340989,1373248,74339,66348,5127,5446,45515,44262,91469,84293
2019,"Iowa",3155070,50149,196,"0.30%",54,"0.20%",60,"0.30%",11,"0.20%",8,"0.30%",7,"0.20%",86,"0.20%",65,"0.20%",33,"0.20%",77,"0.30%",0,"0.00%",0,"0.00%","R",1339381,1370720,76938,68534,5185,5531,47176,45707,94138,86777
2020,"Iowa",3190369,53057,223,"0.30%",68,"0.30%",77,"0.40%",13,"0.20%",9,"0.40%",9,"0.30%",113,"0.30%",76,"0.30%",54,"0.40%",81,"0.30%",6,"0.60%",1,"0.20%","R",1336478,1366994,78636,69878,5263,5543,48121,46692,96736,89100
2010,"Kansas",2858190,39960,739,"0.70%",260,"0.70%",241,"0.80%",56,"0.50%",29,"0.80%",33,"1.20%",269,"0.70%",233,"0.80%",184,"0.80%",218,"0.90%",12,"1.10%",1,"0.50%","D",1116321,1151790,94003,90110,14003,14551,36311,39003,143200,131033
2011,"Kansas",2869225,43015,873,"0.90%",303,"0.90%",282,"1.00%",71,"0.60%",31,"0.70%",34,"1.20%",351,"0.90%",296,"0.90%",200,"0.90%",243,"0.90%",7,"0.80%",4,"1.60%","R",1117199,1151205,94790,91059,13995,14470,37886,40597,145629,134063
2012,"Kansas",2885257,45294,825,"0.80%",277,"0.80%",295,"1.00%",71,"0.70%",34,"0.90%",37,"1.40%",389,"1.00%",314,"1.00%",189,"0.80%",256,"1.00%",9,"0.80%",3,"1.10%","R",1120206,1151260,96557,92176,14039,14492,39331,42129,148837,137219
2013,"Kansas",2893212,46174,852,"0.90%",329,"1.00%",284,"1.00%",61,"0.60%",27,"0.70%",58,"1.80%",436,"1.10%",346,"1.10%",200,"0.90%",258,"1.00%",7,"0.70%",5,"1.50%","R",1120076,1148790,97527,92597,14082,14511,40972,43744,151619,139928
2014,"Kansas",2900475,47013,681,"0.80%",233,"0.70%",217,"0.80%",58,"0.60%",24,"0.70%",34,"1.20%",365,"1.00%",272,"0.90%",197,"1.00%",224,"0.90%",11,"1.20%",54,"16.20%","R",1118804,1146304,98544,92930,14042,14442,42717,45141,154849,142750
2015,"Kansas",2909011,47332,707,"0.80%",229,"0.70%",218,"0.80%",49,"0.50%",17,"0.50%",28,"1.00%",347,"0.90%",258,"0.80%",226,"1.10%",241,"0.90%",9,"1.00%",11,"3.30%","R",1117416,1144081,99406,93452,14043,14343,45201,47311,157693,145872
2016,"Kansas",2910844,47326,675,"0.70%",215,"0.70%",213,"0.80%",35,"0.40%",22,"0.60%",42,"1.40%",348,"0.80%",263,"0.80%",158,"0.80%",234,"0.80%",11,"1.00%",0,"0.00%","R",1114148,1140752,99424,93308,13980,14344,47000,48970,160082,148587
2017,"Kansas",2908718,48756,623,"0.70%",198,"0.70%",215,"0.80%",50,"0.60%",24,"0.70%",29,"0.90%",372,"0.80%",272,"0.80%",160,"0.90%",213,"0.80%",16,"1.60%",4,"1.90%","R",1110417,1136570,99443,93037,13896,14328,47420,49494,162313,151024
2018,"Kansas",2911359,50811,666,"0.90%",224,"0.90%",262,"1.10%",72,"1.00%",37,"1.30%",74,"2.30%",458,"1.20%",367,"1.20%",154,"0.90%",218,"0.90%",14,"1.30%",3,"1.40%","R",1107152,1133268,99738,93356,13859,14306,48482,50544,164733,153366
2019,"Kansas",2913314,52820,771,"1.10%",217,"0.90%",344,"1.50%",51,"0.70%",28,"1.00%",80,"2.30%",470,"1.20%",349,"1.20%",135,"0.90%",263,"1.10%",12,"1.10%",5,"2.40%","D",1103108,1130564,100166,93581,13938,14422,48874,50977,166666,155688
2020,"Kansas",2937880,55677,653,"1.00%",195,"0.90%",244,"1.10%",49,"0.80%",20,"0.80%",73,"2.00%",416,"1.10%",303,"1.10%",171,"1.20%",241,"1.00%",11,"1.10%",3,"0.70%","D",1100210,1127480,100723,93781,14085,14512,49363,51413,168893,157814
2010,"Kentucky",4348181,33409,1110,"1.10%",425,"1.20%",337,"1.20%",49,"0.40%",37,"1.00%",4,"0.10%",325,"0.90%",269,"0.90%",264,"1.10%",287,"1.10%",9,"0.90%",7,"3.50%","D",1857211,1935181,176640,180475,4681,4562,26177,29355,66263,52436
2011,"Kentucky",4369821,34799,1072,"1.10%",355,"1.00%",322,"1.10%",62,"0.50%",38,"0.90%",7,"0.20%",304,"0.80%",257,"0.80%",248,"1.10%",308,"1.20%",11,"1.20%",2,"0.80%","D",1862188,1940757,179396,183141,4705,4542,27410,30588,67773,54383
2012,"Kentucky",4386346,35875,977,"1.00%",335,"1.00%",287,"0.90%",53,"0.50%",44,"1.20%",18,"0.70%",312,"0.80%",256,"0.80%",222,"1.00%",291,"1.10%",4,"0.40%",2,"0.70%","D",1865948,1941787,181990,185065,4663,4612,29012,31981,69663,56515
2013,"Kentucky",4404659,36058,1029,"1.10%",345,"1.00%",269,"1.00%",66,"0.60%",32,"0.90%",14,"0.40%",343,"0.90%",279,"0.90%",237,"1.10%",306,"1.20%",8,"0.80%",0,"0.00%","D",1869210,1943248,185135,187701,4772,4686,30662,33762,71979,58590
2014,"Kentucky",4414349,37645,975,"1.10%",386,"1.20%",274,"1.10%",77,"0.80%",62,"1.70%",15,"0.50%",368,"1.00%",298,"1.00%",216,"1.00%",289,"1.10%",4,"0.40%",0,"0.00%","D",1870061,1944390,186681,189468,4804,4740,31802,34792,72596,59964
2015,"Kentucky",4425976,39232,881,"1.00%",332,"1.10%",282,"1.10%",64,"0.70%",26,"0.70%",26,"0.90%",309,"0.80%",258,"0.80%",213,"1.00%",266,"1.00%",11,"1.20%",3,"0.90%","R",1871289,1944598,188741,190895,4771,4735,33744,36640,73834,61676
2016,"Kentucky",4438182,39750,911,"1.00%",323,"1.00%",273,"1.00%",48,"0.50%",38,"1.00%",16,"0.50%",371,"0.90%",303,"0.90%",233,"1.10%",325,"1.20%",7,"0.70%",1,"0.40%","R",1870331,1944516,190631,193081,4819,4816,35440,38206,75783,63833
2017,"Kentucky",4452268,40770,883,"1.00%",328,"1.10%",262,"1.00%",70,"0.80%",40,"1.20%",31,"1.00%",350,"0.90%",278,"0.90%",184,"1.00%",294,"1.10%",5,"0.50%",3,"1.50%","R",1870758,1944824,193509,195604,4799,4787,36838,39577,78807,66489
2018,"Kentucky",4461153,41977,670,"0.90%",226,"0.90%",217,"0.90%",40,"0.60%",28,"1.00%",35,"1.10%",299,"0.80%",223,"0.70%",118,"0.70%",242,"1.00%",8,"0.80%",1,"0.50%","R",1869382,1944254,195084,197366,4874,4823,37442,40123,81214,69457
2019,"Kentucky",4467673,43629,687,"0.90%",277,"1.20%",203,"0.90%",42,"0.60%",33,"1.20%",31,"0.90%",295,"0.80%",235,"0.80%",162,"1.00%",247,"1.00%",10,"0.90%",2,"1.00%","D",1867990,1942536,197677,199352,4893,4824,38706,41240,82841,71530
2020,"Kentucky",4505836,47058,585,"0.90%",222,"1.00%",160,"0.70%",31,"0.50%",20,"0.80%",45,"1.30%",267,"0.70%",214,"0.80%",134,"0.90%",220,"0.90%",8,"0.80%",2,"0.50%","D",1865039,1940038,199721,201371,4931,4864,39750,42260,84402,73534
2010,"Louisiana",4544532,38242,2130,"2.10%",999,"2.80%",564,"1.90%",145,"1.30%",62,"1.60%",78,"2.80%",752,"2.10%",706,"2.30%",326,"1.40%",387,"1.50%",3,"0.30%",9,"4.50%","R",1364571,1406613,700060,772092,15086,15582,37975,38647,92313,74403
2011,"Louisiana",4575625,39124,2127,"2.10%",1050,"3.00%",535,"1.90%",90,"0.80%",69,"1.70%",173,"6.10%",791,"2.10%",749,"2.40%",293,"1.20%",425,"1.70%",2,"0.20%",7,"2.90%","R",1368065,1410277,706316,779391,15171,15719,39320,40204,95262,77654
2012,"Louisiana",4600972,41003,1970,"2.00%",868,"2.60%",590,"1.90%",76,"0.70%",59,"1.50%",90,"3.40%",740,"2.00%",712,"2.30%",302,"1.30%",395,"1.50%",22,"2.00%",9,"3.20%","R",1371573,1413357,711498,785535,15320,15870,40119,41135,96888,80141
2013,"Louisiana",4624527,41376,1976,"2.10%",907,"2.70%",545,"2.00%",87,"0.80%",49,"1.30%",65,"2.10%",809,"2.10%",763,"2.40%",327,"1.50%",397,"1.50%",4,"0.40%",9,"2.70%","R",1373471,1414232,716647,791598,15432,15910,40942,42163,100029,83204
2014,"Louisiana",4644013,43085,1795,"2.00%",846,"2.70%",480,"1.80%",65,"0.70%",59,"1.70%",69,"2.50%",764,"2.00%",694,"2.30%",304,"1.50%",375,"1.50%",9,"1.00%",12,"3.60%","R",1375339,1415678,720756,796235,15588,16109,41601,42648,102277,85764
2015,"Louisiana",4664628,43113,1779,"2.00%",814,"2.60%",502,"1.90%",78,"0.80%",65,"1.80%",68,"2.50%",811,"2.10%",728,"2.40%",301,"1.50%",364,"1.40%",7,"0.70%",4,"1.20%","R",1377364,1417583,724586,800331,15724,16230,42858,43845,104562,88437
2016,"Louisiana",4678135,42725,1701,"1.90%",746,"2.30%",502,"1.90%",74,"0.80%",51,"1.30%",84,"2.70%",881,"2.10%",764,"2.30%",244,"1.20%",420,"1.50%",25,"2.30%",8,"3.40%","D",1376412,1417889,727334,804330,15794,16323,43961,44791,106495,91084
2017,"Louisiana",4670560,44074,1669,"2.00%",684,"2.40%",468,"1.80%",63,"0.80%",44,"1.30%",71,"2.20%",854,"2.40%",763,"2.40%",247,"1.30%",409,"1.50%",20,"2.00%",5,"2.40%","D",1368229,1412053,727857,806048,15877,16442,44145,45212,107052,92637
2018,"Louisiana",4659690,46062,1273,"1.70%",502,"2.00%",439,"1.80%",57,"0.80%",24,"0.80%",51,"1.60%",619,"1.60%",551,"1.80%",255,"1.50%",361,"1.50%",16,"1.50%",5,"2.30%","D",1360230,1405644,727407,806838,15865,16434,44427,45669,108207,94393
2019,"Louisiana",4648794,47606,1316,"1.80%",551,"2.30%",481,"2.00%",59,"0.80%",39,"1.40%",68,"2.00%",773,"2.00%",670,"2.20%",213,"1.40%",388,"1.60%",17,"1.50%",3,"1.40%","D",1352957,1398863,727112,807772,15883,16471,45011,46351,110370,97011
2020,"Louisiana",4657757,50810,1154,"1.70%",505,"2.30%",388,"1.80%",37,"0.60%",23,"1.00%",50,"1.40%",625,"1.70%",536,"1.90%",212,"1.50%",353,"1.50%",17,"1.70%",2,"0.50%","D",1343835,1391113,725480,807432,15933,16591,45424,46876,112241,99104
2010,"Maine",1327629,38106,49,"0.00%",6,"0.00%",13,"0.00%",6,"0.10%",13,"0.30%",2,"0.10%",17,"0.00%",14,"0.00%",8,"0.00%",20,"0.10%",0,"0.00%",0,"0.00%","D",619326,647629,10392,8467,4845,4987,6598,8402,7470,7585
2011,"Maine",1328284,39690,33,"0.00%",3,"0.00%",11,"0.00%",2,"0.00%",0,"0.00%",1,"0.00%",6,"0.00%",5,"0.00%",6,"0.00%",13,"0.10%",0,"0.00%",0,"0.00%","R",618925,646700,10856,8833,4870,5025,6851,8688,7807,7807
2012,"Maine",1327729,40411,34,"0.00%",7,"0.00%",12,"0.00%",2,"0.00%",0,"0.00%",1,"0.00%",9,"0.00%",7,"0.00%",9,"0.00%",7,"0.00%",0,"0.00%",0,"0.00%","R",617944,645937,11241,9021,4866,5065,6973,8803,8047,8003
2013,"Maine",1328009,40329,34,"0.00%",6,"0.00%",5,"0.00%",4,"0.00%",1,"0.00%",1,"0.00%",10,"0.00%",4,"0.00%",8,"0.00%",17,"0.10%",0,"0.00%",0,"0.00%","R",617474,644779,11614,9274,4899,5085,7212,9046,8510,8368
2014,"Maine",1330513,41797,34,"0.00%",4,"0.00%",7,"0.00%",5,"0.10%",1,"0.00%",0,"0.00%",9,"0.00%",5,"0.00%",9,"0.00%",12,"0.00%",0,"0.00%",0,"0.00%","R",617218,644853,12051,9964,4922,5095,7540,9406,8872,8792
2015,"Maine",1328262,43672,27,"0.00%",7,"0.00%",4,"0.00%",3,"0.00%",2,"0.10%",1,"0.00%",6,"0.00%",6,"0.00%",10,"0.00%",11,"0.00%",0,"0.00%",0,"0.00%","R",615569,643285,12267,10190,4933,5132,7588,9494,9021,9023
2016,"Maine",1331317,44740,30,"0.00%",6,"0.00%",8,"0.00%",1,"0.00%",1,"0.00%",1,"0.00%",11,"0.00%",9,"0.00%",10,"0.00%",13,"0.00%",1,"0.10%",1,"0.40%","R",615906,643671,12773,10710,4987,5144,7900,9932,9333,9300
2017,"Maine",1334612,46421,35,"0.00%",5,"0.00%",7,"0.00%",0,"0.00%",2,"0.10%",0,"0.00%",15,"0.00%",11,"0.00%",11,"0.10%",21,"0.10%",0,"0.00%",0,"0.00%","R",616631,644362,13195,11030,5047,5175,8078,10093,9717,9572
2018,"Maine",1339057,48220,25,"0.00%",4,"0.00%",10,"0.00%",1,"0.00%",0,"0.00%",2,"0.10%",13,"0.00%",9,"0.00%",4,"0.00%",11,"0.00%",0,"0.00%",0,"0.00%","R",617536,645712,13720,11439,5072,5197,8250,10309,10042,9905
2019,"Maine",1344212,49986,38,"0.10%",6,"0.00%",13,"0.10%",0,"0.00%",2,"0.10%",2,"0.10%",14,"0.00%",10,"0.00%",3,"0.00%",14,"0.10%",1,"0.10%",1,"0.50%","D",618682,646976,14388,12077,5121,5280,8567,10581,10706,10299
2020,"Maine",1362359,53728,26,"0.00%",7,"0.00%",5,"0.00%",2,"0.00%",1,"0.00%",2,"0.10%",13,"0.00%",8,"0.00%",7,"0.00%",15,"0.10%",12,"1.20%",0,"0.00%","D",619537,648070,14833,12344,5162,5318,8759,10852,11290,10715
2010,"Maryland",19399878,49668,2927,"2.90%",1234,"3.40%",813,"2.80%",322,"2.80%",132,"3.50%",111,"4.00%",1171,"3.20%",1052,"3.40%",556,"2.40%",667,"2.70%",25,"2.40%",2,"1.00%","D",1572631,1645414,805497,926238,8229,9088,164717,181778,204343,183658
2011,"Maryland",19499241,51845,2301,"2.30%",917,"2.60%",657,"2.30%",247,"2.10%",113,"2.70%",82,"2.90%",881,"2.40%",787,"2.50%",440,"1.90%",553,"2.10%",23,"2.50%",5,"2.00%","D",1575063,1645714,815453,936092,8271,9143,170420,187903,211561,190412
2012,"Maryland",19572932,52787,2480,"2.50%",976,"2.90%",671,"2.20%",256,"2.40%",103,"2.70%",97,"3.60%",1029,"2.70%",910,"2.90%",528,"2.30%",606,"2.30%",25,"2.30%",13,"4.60%","D",1577046,1644827,824552,944844,8334,9182,176080,194246,218642,197033
2013,"Maryland",19624447,52249,2537,"2.70%",946,"2.90%",686,"2.50%",243,"2.30%",117,"3.10%",113,"3.60%",1115,"2.90%",969,"3.10%",549,"2.60%",631,"2.40%",23,"2.30%",8,"2.40%","D",1574250,1640251,833009,953918,8359,9190,181142,199586,224980,203883
2014,"Maryland",19651049,53659,2499,"2.80%",925,"3.00%",653,"2.50%",262,"2.70%",98,"2.80%",110,"4.00%",1122,"3.00%",988,"3.20%",478,"2.30%",623,"2.50%",27,"2.90%",7,"2.10%","D",1566823,1633253,841751,963244,8366,9281,186034,205227,233616,212016
2015,"Maryland",19654666,55825,2349,"2.60%",886,"2.90%",626,"2.40%",244,"2.50%",98,"2.80%",77,"2.80%",1007,"2.70%",867,"2.80%",447,"2.20%",614,"2.40%",17,"1.80%",7,"2.10%","R",1557938,1623565,850617,971989,8459,9350,191429,210915,240473,219357
2016,"Maryland",19633428,57632,2291,"2.50%",874,"2.70%",635,"2.40%",189,"1.90%",97,"2.50%",93,"3.00%",1067,"2.50%",892,"2.70%",478,"2.30%",576,"2.10%",16,"1.50%",10,"4.20%","R",1547940,1612222,857168,978619,8519,9409,195519,215266,247639,226750
2017,"Maryland",19589572,59183,2374,"2.80%",887,"3.10%",693,"2.70%",254,"3.10%",81,"2.40%",104,"3.20%",1150,"3.10%",980,"3.10%",431,"2.30%",617,"2.30%",25,"2.50%",7,"3.40%","R",1537609,1600924,863599,986670,8576,9407,199835,220140,254974,234361
2018,"Maryland",19530351,60630,1914,"2.50%",634,"2.60%",565,"2.30%",138,"1.90%",77,"2.70%",99,"3.10%",938,"2.40%",761,"2.50%",372,"2.20%",549,"2.20%",29,"2.70%",0,"0.00%","R",1526273,1589912,868895,992955,8585,9436,202427,223072,262145,242283
2019,"Maryland",19453561,61879,1739,"2.40%",574,"2.40%",488,"2.10%",153,"2.20%",65,"2.40%",99,"2.90%",823,"2.10%",639,"2.10%",305,"2.00%",528,"2.20%",29,"2.60%",8,"3.80%","R",1514882,1578238,874342,999742,8613,9421,205199,226224,268619,249370
2020,"Maryland",20201249,65534,1645,"2.40%",571,"2.60%",467,"2.20%",158,"2.50%",59,"2.50%",123,"3.50%",837,"2.20%",649,"2.30%",291,"2.10%",566,"2.30%",18,"1.80%",5,"1.10%","R",1501660,1564069,877750,1003973,8603,9423,207286,228601,274455,255584
2010,"Massachusetts",9574323,52894,419,"0.40%",111,"0.30%",127,"0.40%",53,"0.50%",19,"0.50%",35,"1.30%",145,"0.40%",118,"0.40%",103,"0.40%",128,"0.50%",2,"0.20%",2,"1.00%","D",2462083,2633880,215852,230995,7337,7423,179509,195426,250031,256160
2011,"Massachusetts",9657592,54812,459,"0.50%",106,"0.30%",145,"0.50%",67,"0.60%",24,"0.60%",33,"1.20%",182,"0.50%",145,"0.50%",124,"0.50%",132,"0.50%",3,"0.30%",1,"0.40%","D",2462139,2631443,221018,236236,7368,7473,186810,203623,259850,264982
2012,"Massachusetts",9749476,56669,426,"0.40%",82,"0.20%",139,"0.50%",56,"0.50%",13,"0.30%",15,"0.60%",143,"0.40%",111,"0.40%",137,"0.60%",128,"0.50%",3,"0.30%",0,"0.00%","D",2461390,2627910,227135,241770,7509,7570,195097,212476,270050,273897
2013,"Massachusetts",9843336,56628,400,"0.40%",100,"0.30%",113,"0.40%",64,"0.60%",15,"0.40%",31,"1.00%",140,"0.40%",102,"0.30%",98,"0.50%",134,"0.50%",4,"0.40%",0,"0.00%","D",2460171,2626280,233103,248005,7556,7656,202967,221166,279513,283400
2014,"Massachusetts",9932887,58924,436,"0.50%",107,"0.30%",119,"0.50%",68,"0.70%",26,"0.70%",28,"1.00%",169,"0.40%",149,"0.50%",137,"0.70%",129,"0.50%",5,"0.50%",0,"0.00%","D",2458068,2622917,239232,253672,7608,7666,211415,230399,289572,293245
2015,"Massachusetts",10031646,62376,594,"0.70%",118,"0.40%",116,"0.40%",70,"0.70%",16,"0.50%",23,"0.80%",173,"0.50%",142,"0.50%",111,"0.50%",301,"1.20%",0,"0.00%",1,"0.30%","D",2449325,2613598,244405,259087,7647,7726,218758,238339,299376,302675
2016,"Massachusetts",10154788,64295,503,"0.50%",135,"0.40%",129,"0.50%",98,"1.00%",19,"0.50%",23,"0.70%",197,"0.50%",157,"0.50%",142,"0.70%",159,"0.60%",3,"0.30%",2,"0.80%","R",2439788,2601838,249942,264701,7701,7760,227154,246997,308107,311559
2017,"Massachusetts",10268233,66625,470,"0.60%",115,"0.40%",146,"0.60%",57,"0.70%",33,"1.00%",23,"0.70%",213,"0.50%",171,"0.50%",110,"0.60%",147,"0.50%",6,"0.60%",3,"1.50%","R",2430753,2591343,255708,270308,7726,7823,235900,256138,318443,321849
2018,"Massachusetts",10381615,69517,412,"0.50%",107,"0.40%",144,"0.60%",41,"0.60%",14,"0.50%",28,"0.90%",171,"0.40%",126,"0.40%",102,"0.60%",133,"0.50%",5,"0.50%",4,"1.80%","R",2418417,2578801,260089,275215,7766,7941,241552,262289,328271,332254
2019,"Massachusetts",10488084,72202,379,"0.50%",104,"0.40%",135,"0.60%",56,"0.80%",17,"0.60%",38,"1.10%",157,"0.40%",128,"0.40%",90,"0.60%",114,"0.50%",7,"0.60%",2,"1.00%","R",2404865,2563351,264384,279367,7751,7923,247947,268950,333821,338376
2020,"Massachusetts",10439388,77021,341,"0.50%",92,"0.40%",84,"0.40%",54,"0.80%",19,"0.80%",47,"1.30%",154,"0.40%",110,"0.40%",78,"0.50%",142,"0.60%",8,"0.80%",6,"1.40%","R",2389132,2545607,267259,281496,7729,7986,252944,273996,340041,344824
2010,"Michigan",674715,35760,2737,"2.70%",915,"2.50%",736,"2.50%",142,"1.30%",76,"2.00%",41,"1.50%",743,"2.00%",607,"2.00%",715,"3.10%",787,"3.10%",25,"2.40%",5,"2.50%","D",3772925,3887267,689028,760147,33550,34982,127089,134663,194615,186530
2011,"Michigan",685225,37781,2725,"2.70%",835,"2.40%",792,"2.80%",151,"1.30%",92,"2.20%",29,"1.00%",755,"2.00%",614,"2.00%",592,"2.50%",778,"3.00%",27,"2.90%",4,"1.60%","R",3765847,3877444,689421,761401,33713,35108,132545,140418,198399,190639
2012,"Michigan",701176,39266,2587,"2.60%",860,"2.60%",686,"2.30%",129,"1.20%",74,"1.90%",19,"0.70%",781,"2.10%",628,"2.00%",545,"2.40%",814,"3.10%",17,"1.60%",4,"1.40%","R",3763497,3869438,690416,761829,33876,35294,138523,146403,203464,195559
2013,"Michigan",722036,39566,2604,"2.80%",855,"2.60%",722,"2.60%",145,"1.40%",94,"2.50%",25,"0.80%",773,"2.00%",608,"1.90%",576,"2.70%",855,"3.30%",21,"2.10%",10,"3.00%","R",3762932,3864852,689940,761033,33997,35335,144960,153036,207593,199681
2014,"Michigan",737401,41207,2624,"3.00%",893,"2.90%",680,"2.60%",150,"1.60%",75,"2.10%",25,"0.90%",844,"2.20%",661,"2.10%",624,"3.00%",833,"3.30%",24,"2.60%",3,"0.90%","R",3762123,3859772,690510,761146,34069,35516,151570,159170,211672,203513
2015,"Michigan",754066,43425,2551,"2.90%",786,"2.50%",684,"2.60%",140,"1.50%",79,"2.20%",26,"0.90%",908,"2.40%",716,"2.30%",544,"2.60%",823,"3.20%",24,"2.60%",7,"2.10%","R",3756169,3848452,690619,760525,34171,35605,157508,164509,215400,207101
2016,"Michigan",754434,44527,2695,"2.90%",891,"2.80%",729,"2.70%",155,"1.60%",98,"2.60%",30,"1.00%",981,"2.30%",776,"2.30%",623,"3.00%",872,"3.10%",48,"4.50%",9,"3.80%","R",3754138,3842794,691613,760784,34264,35772,165123,170756,220904,212061
2017,"Michigan",754942,45648,2489,"3.00%",779,"2.70%",664,"2.60%",157,"1.90%",114,"3.30%",28,"0.90%",986,"2.30%",741,"2.30%",505,"2.70%",831,"3.10%",35,"3.50%",6,"2.90%","R",3754388,3839116,692457,762321,34430,35916,171811,176391,225661,216617
2018,"Michigan",758080,47314,2473,"3.20%",860,"3.50%",707,"2.90%",128,"1.80%",89,"3.10%",36,"1.10%",1131,"2.90%",872,"2.90%",529,"3.10%",846,"3.40%",29,"2.70%",6,"2.70%","R",3749663,3832519,693206,763759,34444,35993,176203,180080,230779,221537
2019,"Michigan",762062,48820,2358,"3.20%",790,"3.30%",663,"2.80%",145,"2.10%",87,"3.20%",51,"1.50%",1022,"2.60%",822,"2.70%",485,"3.10%",798,"3.30%",32,"2.90%",8,"3.80%","R",3740681,3821720,693689,764790,34651,36267,177989,181657,235968,226505
