Year,State,State_Population,Total_Charges,Gov_Party,White_Male_Pop,White_Female_Pop,Black_Male_Pop,Black_Female_Pop,Native_American_Male_Pop,Native_American_Female_Pop,Asian_Male_Pop,Asian_Female_Pop,Hispanic_Male_Pop,Hispanic_Female_Pop
2013,South Dakota,842316,62,R,355777,354640,10122,7146,36992,38253,5436,5613,11937,9789
2014,South Dakota,849129,72,R,358149,356434,10479,7394,37172,38533,5684,5876,12261,10135
2015,South Dakota,853988,64,R,359283,357129,10962,7738,37447,38782,6083,6267,12564,10346
2016,South Dakota,862996,54,R,361320,358460,12026,8626,37697,39074,6654,7031,13163,10934
2017,South Dakota,872868,70,R,363668,360244,12990,9438,37886,39266,7231,7719,14208,11839
2018,South Dakota,878698,48,R,365141,361895,13353,9713,38033,39432,7156,7665,14659,12483
2019,South Dakota,884659,49,R,367481,364070,13882,10205,38146,39381,7475,8099,15292,13061
2020,South Dakota,886667,67,R,369315,365201,14359,10610,38125,39288,7715,8500,15792,13677
2010,Tennessee,6355311,3608,D,2372143,2490068,510212,572435,8978,8795,48065,53703,139986,116493
2011,Tennessee,6399291,3307,R,2381475,2499798,516258,578491,9051,8933,50465,56326,142578,120481
2012,Tennessee,6453898,3280,R,2394917,2511450,524617,585664,9252,9048,52694,58705,145702,125434
2013,Tennessee,6494340,2988,R,2404329,2520096,529814,590916,9400,9160,54792,61067,148405,129151
2014,Tennessee,6541223,3221,R,2416645,2530814,535514,596218,9569,9374,56555,63037,151694,133278
2015,Tennessee,6591170,2726,R,2428950,2543031,540601,601807,9745,9533,58831,65412,155973,138079
2016,Tennessee,6646010,2740,R,2444341,2556984,544960,607562,9904,9763,60959,67768,160695,143260
2017,Tennessee,6708799,2640,R,2460492,2572164,550767,613444,10125,9920,63558,70382,167174,149400
2018,Tennessee,6771631,2331,R,2475759,2588427,555725,619140,10381,10066,66478,73481,173484,156089
2019,Tennessee,6829174,2393,R,2488583,2602615,559353,624124,10608,10276,68222,75075,178835,161804
2020,Tennessee,6910840,2359,R,2503449,2619806,562474,628599,10783,10499,70065,76749,184219,167711
2010,Texas,25241971,9310,R,5740421,5875550,1439268,1542965,45922,46628,503421,530956,4569527,4508970
2011,Texas,25645629,9952,R,5777412,5909879,1467494,1571148,46708,47382,525720,554745,4673601,4618879
2012,Texas,26084481,8929,R,5827144,5951210,1501310,1605187,47730,48282,552998,582711,4776281,4723190
2013,Texas,26480266,9068,R,5859039,5978030,1534249,1637874,48606,49157,581747,612313,4873651,4821433
2014,Texas,26964333,8035,R,5911307,6025898,1571968,1677238,49646,50146,617722,649807,4981535,4926850
2015,Texas,27470056,9539,R,5962224,6071185,1612694,1719538,50718,51054,655334,689461,5098684,5038400
2016,Texas,27914410,9308,R,5992686,6100895,1651422,1760282,51539,51902,688649,724428,5208921,5146419
2017,Texas,28295273,8827,R,6009276,6117294,1687824,1798082,52280,52538,718910,756543,5304104,5240148
2018,Texas,28628666,7482,R,6020820,6129936,1719985,1833824,52931,53285,742103,782411,5390048,5327981
2019,Texas,28995881,7448,R,6040947,6147930,1753030,1871070,53669,54099,766774,807938,5481501,5419317
2020,Texas,29145505,6876,R,6063778,6170067,1789746,1910168,54440,54742,792342,833619,5571548,5509486
2010,Utah,2775332,204,R,1131254,1131407,19021,14478,14690,15305,43106,45665,169565,159450
2011,Utah,2814384,215,R,1145395,1144417,19499,14952,14764,15402,44541,47338,172764,163118
2012,Utah,2853375,247,R,1159525,1156528,20171,15662,14913,15478,46692,49486,175577,165995
2013,Utah,2897640,270,R,1175498,1170878,20857,16221,14982,15605,48569,51201,179092,170113
2014,Utah,2936879,317,R,1188817,1183417,21514,16637,15132,15838,50421,53069,182619,173972
2015,Utah,2981835,281,R,1203679,1197402,22283,17116,15352,15917,52386,54931,187567,178830
2016,Utah,3041868,259,R,1223771,1215958,23562,18073,15568,16074,54862,57817,193878,185009
2017,Utah,3101042,264,R,1242269,1233252,24906,19129,15755,16322,57637,60520,200873,191453
2018,Utah,3153550,233,R,1258200,1248885,25906,19954,15910,16482,59851,62739,206786,197317
2019,Utah,3205958,218,R,1273663,1263410,26958,20802,16153,16806,61738,64734,211855,202470
2020,Utah,3271616,245,R,1287800,1276820,28008,21581,16493,17087,63793,66650,217644,207519
2010,Vermont,625879,32,R,294143,303283,4301,3565,1341,1332,3831,4799,4055,4099
2011,Vermont,627049,35,D,294206,302941,4510,3709,1334,1366,4115,5119,4442,4222
2012,Vermont,626090,34,D,293482,302129,4633,3755,1332,1351,4231,5271,4519,4379
2013,Vermont,626210,31,D,293245,301476,4812,3935,1328,1341,4368,5446,4772,4588
2014,Vermont,625214,40,D,292420,300663,4945,4025,1332,1310,4526,5591,4843,4684
2015,Vermont,625216,45,D,291688,299676,5148,4213,1341,1297,5083,6150,4974,4815
2016,Vermont,623657,29,D,290358,298442,5304,4264,1349,1306,5336,6367,5184,4946
2017,Vermont,624344,46,R,289841,297916,5511,4361,1341,1331,5777,6892,5379,5214
2018,Vermont,624358,25,R,289217,297445,5690,4399,1338,1348,5831,6975,5512,5410
2019,Vermont,623989,36,R,288643,296332,5897,4549,1335,1340,5927,7105,5618,5600
2020,Vermont,643077,31,R,287880,295529,6053,4646,1351,1342,5960,7268,5805,5750
2010,Virginia,8023699,3146,R,2606913,2683359,759087,830783,11765,12044,228695,253813,284325,260683
2011,Virginia,8101155,3181,R,2621263,2694114,765715,836855,11878,12208,236927,263116,294149,271029
2012,Virginia,8185080,3201,R,2636456,2705501,773860,844639,12058,12300,245949,273863,303713,281201
2013,Virginia,8252427,3095,R,2645666,2711787,781614,851530,12244,12362,254067,282398,312634,290244
2014,Virginia,8310993,3051,D,2650463,2713972,789415,858229,12417,12523,263319,292476,319813,297937
2015,Virginia,8361808,2844,D,2649730,2711780,797329,865026,12454,12536,272809,302254,328540,306036
2016,Virginia,8410106,2945,D,2648592,2710200,803224,871384,12599,12607,281301,311895,337756,315216
2017,Virginia,8463587,2730,D,2647301,2708701,810310,877637,12821,12705,289816,320881,348284,325273
2018,Virginia,8501286,2594,D,2643890,2706411,816120,883277,12853,12817,295762,326889,357219,334054
2019,Virginia,8535519,2265,D,2642180,2704136,822406,889496,12879,12874,302954,334615,366273,343124
2020,Virginia,8631393,1974,D,2637408,2699886,827543,894295,12985,13055,309172,340918,374707,351665
2010,Washington,6742830,1247,D,2491270,2529196,151898,133075,52477,53762,266050,303928,349097,320108
2011,Washington,6826627,1346,D,2508171,2541203,157171,137150,52763,54076,276809,315156,357946,330037
2012,Washington,6897058,1190,D,2519278,2548724,162098,141661,53005,54375,287374,326154,365388,338868
2013,Washington,6963985,1285,D,2528527,2555105,166265,145259,53291,54708,298382,336882,374254,347520
2014,Washington,7054655,1159,D,2545228,2566778,170832,148954,53730,55063,312747,351501,384718,357304
2015,Washington,7163657,1243,D,2566953,2585470,175882,153713,54157,55567,328747,367575,395549,368422
2016,Washington,7294771,1369,D,2595268,2610196,182472,158767,54564,56078,345181,384371,409987,382137
2017,Washington,7423362,1198,D,2619298,2632121,189499,164205,55205,56619,363349,402944,422529,395115
2018,Washington,7523869,1135,D,2632617,2644431,196291,169617,55517,57097,380494,419515,433076,406195
2019,Washington,7614893,1091,D,2641089,2651370,202550,174382,55809,57424,395840,434471,445526,418719
2020,Washington,7705281,1004,D,2647197,2656166,208860,179298,56041,57786,411553,449166,457258,429684
2010,West Virginia,1854239,182,D,856263,888032,37422,32503,1922,1717,6633,7408,10638,9252
2011,West Virginia,1856301,142,D,856264,887033,37981,32743,1948,1774,7064,7961,11339,9874
2012,West Virginia,1856872,165,D,856333,885770,38292,32945,1997,1790,7288,8251,11792,10265
2013,West Virginia,1853914,131,D,854377,882931,38706,33256,2016,1838,7464,8444,12283,10621
2014,West Virginia,1849489,153,D,851252,879982,38835,33507,2025,1859,7726,8605,12745,11049
2015,West Virginia,1842050,127,D,847611,874893,39018,33563,2021,1869,7919,8745,13170,11399
2016,West Virginia,1831023,114,D,842002,868374,38982,33528,2026,1876,8088,8979,13495,11831
2017,West Virginia,1817004,125,R,835542,860798,38931,33451,2046,1855,8008,8890,13748,11990
2018,West Virginia,1804291,112,R,828999,853888,38943,33494,2039,1839,7886,8784,14097,12471
2019,West Virginia,1792147,86,R,823253,847382,39119,33498,2040,1881,8074,8864,14609,12867
2020,West Virginia,1793716,154,R,817264,841064,39625,33787,2072,1865,8172,8939,15004,13180
2010,Wisconsin,5690475,1049,D,2367331,2415008,185511,192061,26759,27293,67656,71033,158550,143246
2011,Wisconsin,5705288,993,R,2366889,2412247,187657,194509,26960,27505,70230,73702,161465,147113
2012,Wisconsin,5719960,1067,R,2366472,2409293,189277,196432,27131,27691,72877,76602,164820,151035
2013,Wisconsin,5736754,944,R,2366569,2407848,190972,197882,27341,27766,76252,80291,167670,154722
2014,Wisconsin,5751525,968,R,2366326,2404915,192883,199798,27544,27957,79399,83627,170359,158218
2015,Wisconsin,5760940,945,R,2363705,2398997,194660,201351,27662,28038,82486,86975,173560,161717
2016,Wisconsin,5772628,1096,R,2361320,2394706,196338,202802,27850,28212,85490,89819,177387,165741
2017,Wisconsin,5790186,932,R,2361050,2393202,198662,204583,27981,28449,88238,92738,181135,169955
2018,Wisconsin,5807406,938,R,2360839,2390848,200512,206157,28137,28551,89803,93986,186174,175172
2019,Wisconsin,5822434,897,D,2361260,2390312,201784,207310,28422,28781,92265,96158,189316,178349
2020,Wisconsin,5893718,850,D,2359757,2387409,202631,207672,28562,28998,93997,97876,192341,181581
2010,Wyoming,564487,40,D,249060,240986,3493,2492,6374,6368,2335,2895,24103,21726
2011,Wyoming,567299,57,R,249636,241664,3757,2594,6482,6426,2374,2959,24503,22145
2012,Wyoming,576305,95,R,251732,243399,4969,3516,6568,6494,2648,3148,25677,23086
2013,Wyoming,582122,65,R,253522,244916,5398,4040,6589,6598,2755,3248,26203,23629
2014,Wyoming,582531,69,R,253558,245120,5064,3672,6619,6684,2751,3265,26514,23883
2015,Wyoming,585613,46,R,254948,246065,4936,3460,6653,6644,2927,3341,26869,24271
2016,Wyoming,584215,55,R,253745,245202,4929,3410,6609,6622,3017,3503,27178,24545
2017,Wyoming,578931,30,R,250681,242879,4884,3421,6518,6594,3160,3611,27062,24511
2018,Wyoming,577601,21,R,249626,242209,4811,3461,6545,6631,3332,3698,27103,24682
2019,Wyoming,578759,36,R,249852,242282,4828,3499,6522,6581,3364,3673,27388,25045
2020,Wyoming,576851,42,R,250498,242873,4846,3561,6644,6619,3336,3672,27725,25365
